"Racism0130","@officialbarnesy I've been called worse than ""the black guy"".
I mean, it's not a secret, I'm black, and it's one of the first things you notice about me after my sultry brown eyes and my fat gut 😂🤣
I'd be more offended if people pointed at me and said ""the fat bastard""",,,,
"Racism0131","#classicmoviequotes hate you black bastards you stink! i hate ya black skin.. i hate ur black pants..i hate black pepper!",,,,
"Racism0132","@themodernage85 @officialbarnesy I'm referring to the Black people.  Now, bugger off toss pot.",,,,
"Racism0133","Only reason black kids are so attached to mommy is due to  deadbeat/uninvolved dads cos really u are a kid if 1 parent ghosted u got no choice but follow the only one who ""stuck around"" lmfao",,,,
"Racism0134","@KlausVonH And there's Black 3.0. Which can be purchased by anyone. Except that dickhead with exclusive rights to vantablack.",,,,
"Racism0135","@FREDJONESLFC181 @RossMenhennet @ses101 @SDair3 @marshall_07_10 @BBCSport Ah bugger, you slipped up already calling him a missing black person",,,,
"Racism0136","@Novic_Cole That's fair but I can argue that it's because you haven't had experiences where being a black man was used to discriminate you is why you feel this way.",,,,
"Racism0137","@Ayumimi13 history have experienced atrocities like slavery and persecution. But in the very specific context of American history, white people have not been enslaved, colonized, or forced to segregate on the scale that black people have. They do not face housing or job discrimination, ~",,,,
"Racism0138","I swear I dislike it when a non African American person have an opinion or try to tell me about racial profiling and how, “I was good so you should be good” LIKE DUH BITCH YOU NOT BLACK OFC YOU GOOD. Swear I’m fed up with the BS.😤",,,,
"Racism0139","This #HumanRightsDay we continue to remember the ongoing plight of our brothers and sisters around the globe because of anti-blackness. We continue to push forward for a world where Black people can live free from discrimination and injustice.
#blackfuturesmatter https://t.co/ylFG7JRD3i",,,,
"Racism0140","@Mooney199 @John88482621 @Haruzivishej @didierdrogba @dembabafoot Just because you don’t take offence doesn’t mean you should tell@others not to. The fact is you’ll never understand the kind of discrimination that black people endure and you’re showing that you don’t empathise either",,,,
"Racism0141","@GerryLa72875731 @PSG_English If there is a black person, yes. In the same manner as, if it was a white person between more black people, they would say ""that white guy"". It is nothing wrong in being white or black, because it a humankind part. The problem it is only when it would be a discrimination on this.",,,,
"Racism0142","@VKlMTAEHYUNGZ @jimmyblackfella so do you think I should call you racist ???
you having a go at me because I am black , because I detest those who do wrong , not because they are black but because they did wrong
if you are white black green yellow pink blue .
no discrimination ....
all treated the same.",,,,
"Racism0143","damn it man everyone flaked on me at the last minute i hate black folks for this""it never gets old seeing uptight american psychos freak out when socialists say something wild and crazy like ""we're socialists"" https://t.co/R6nTJ85btp",,,,
"Racism0144","@phlrgh @JebBush @jaketapper When black people participate in large numbers, white GOP's freak out.",,,,
"Racism0145","Hate when ppl said black and indigenous. 🤧 we are indigenous, indigo means dark colored",,,,
"Racism0146","@Rep_CAJohnson @YouTube Why are you using white men to spread your message of black hate? I’d say your recent fb post that got you kicked out of the house would suffice. At least you used your own words. We’re on to you Cindy. You need to hide. You’re going to pay.",,,,
"Racism0147","@Rep_CAJohnson @realDonaldTrump You are privileged and self entitled!  You are the definition of both!  I am ashamed of you as you speak for a very small % of blacks, black women &amp; women in general!  My circle of diversity does not speak of such nonsense and hate!  You need Jesus for sure w/some wine!",,,,
"Racism0148","i hate black ppl that are on cops. black ppl who would never be on cops are not that bad",,,,
"Racism0149","you can call me uppity but i hate niggas...and not just the black kind",,,,
"Racism0150","@frjhnn the fact that no one asked, u had to tweet this on ur burner acct and im not ugly just make ur reply funnier! stay pressed and just say u hate black people and go!!!!",,,,
"Racism0151","@c0l0n1s3d I so much hate it tha people believe the anglo colonial/American ideology has now been replacing the german ideology.
the nazi weren't half as ret*rded as the white good everyone else bad crowd.",,,,
"Racism0152","It's all hate and lot of investigation when a young black boy is wining in Africa
But it's all silence when a young black boy is suffering 😢",,,,
"Racism0153","now all the guys hate me cuz i called them out for calling me the f slur ?? one said ""do u have corona"" bcz im asian .. why was i even friends with them",,,,
"Racism0154","i hate that ceyan is so asian",,,,
"Racism0155","@LangmanVince He didn't start a race war. Racist hated to see a black man achieve something. If anything it rallied racist to have a single target to hate. And your daddy trimp doesn't help the race relations at all.",,,,
"Racism0156","i hate black people. they steal everything! they stole plaid. they stole skinny jeans... i dont go to yo house and steal yo purple drank!",,,,
"Racism0157","@xNecroNova @lME3K @APoopycon @tradzoomer ANTIFA is majority white. “They doxed me now I hate black people”.. BLM - all races. “They beat me up, now I hate black people” ... he was already racist. He just now has an excuse to be, and the excuse doesn’t make sense",,,,
"Racism0158","i think i'm slowly starting to hate black men....took me long enough huh? lol. not all though",,,,
"Racism0159","Game over. I hate black people.. now I know what job I'm going to quit. Thank you""What is populism? asks someone who works for a newspaper which runs anything, including fake stories, in order to whip up hatred of muslims, black people, trans people.... https://t.co/rZvrOCU0OJ",,,,
"Racism0160","@camdiddly007 @GleamingCubes @Cam73390093 @bambooney @VaushV nah man their hatred for jewish people is stronger than their love for bullshit american values",,,,
"Racism0161","@bebmoore17 @davenewworld_2 What pisses me off is had this of been a black cop and a white person stated “ dear black people” all hell would be breaking lose,   regardless the skin color the cop was a ignorant prick.",,,,
"Racism0162","@stablenct nah we want your favs to apologize for the fcked up sht they do in 2020 the same way they be showing their hatred for us black people.",,,,
"Racism0163","@ayopatty oh god do I hate black bitches so fucking ignorant and stupid (me ofendes lol)""@thereignmaker @CapehartJ @SymoneDSanders Amazing (actually not really) that folks can’t handle when women, especially black woman, raise their tone in the slightest! American can handle ALL of these loud ignorant petty LYING ASS white men but a black woman is too much! HANDLE IT!",,,,
"Racism0164","@theanimegf @Gmarie1599 @LbRemastered @YoDuppio Japan isn’t really ignorant when it comes to black characters. Plus expect a lot of black characters in anime is pretty dumb. They are from Japan. Japanese don’t encounter many black people. So it doesn’t come to their mind to be adding black people In their animes.",,,,
